datetime;Jahr;monat;Tag;Stunde;Datum;Tag des Jahres;Tag des Monats;Uhrzeit;timestamp;zone_name;carbon_intensity_avg;carbon_intensity_production_avg;carbon_intensity_discharge_avg;carbon_intensity_import_avg;carbon_rate_avg;total_production_avg;total_storage_avg;total_discharge_avg;total_import_avg;total_export_avg;total_consumption_avg;production_sources;power_origin_percent_fossil_avg;power_origin_percent_renewable_avg;power_production_biomass_avg;power_production_coal_avg;power_production_gas_avg;power_production_hydro_avg;power_production_nuclear_avg;power_production_oil_avg;power_production_solar_avg;power_production_wind_avg;power_production_geothermal_avg;power_production_unknown_avg;power_consumption_biomass_avg;power_consumption_coal_avg;power_consumption_gas_avg;power_consumption_hydro_avg;power_consumption_nuclear_avg;power_consumption_oil_avg;power_consumption_solar_avg;power_consumption_wind_avg;power_consumption_geothermal_avg;power_consumption_unknown_avg;power_consumption_battery_discharge_avg;power_consumption_hydro_discharge_avg;carbon_origin_percent_biomass_avg;carbon_origin_percent_coal_avg;carbon_origin_percent_gas_avg;carbon_origin_percent_hydro_avg;carbon_origin_percent_nuclear_avg;carbon_origin_percent_oil_avg;carbon_origin_percent_solar_avg;carbon_origin_percent_wind_avg;carbon_origin_percent_geothermal_avg;carbon_origin_percent_unknown_avg;carbon_origin_percent_battery_discharge_avg;carbon_origin_percent_hydro_discharge_avg;power_net_discharge_battery_avg;power_net_discharge_hydro_avg;power_net_import_CH_avg;power_net_import_CZ_avg;power_net_import_DE_avg;power_net_import_HU_avg;power_net_import_IT-NO_avg;power_net_import_SI_avg;latest_forecasted_dewpoint_avg;latest_forecasted_precipitation_avg;latest_forecasted_solar_avg;latest_forecasted_temperature_avg;latest_forecasted_wind_x_avg;latest_forecasted_wind_y_avg;latest_forecasted_price_avg;latest_forecasted_production_avg;latest_forecasted_consumption_avg;latest_forecasted_power_net_import_CH_avg;latest_forecasted_power_net_import_CZ_avg;latest_forecasted_power_net_import_DE_avg;latest_forecasted_power_net_import_HU_avg;latest_forecasted_power_net_import_IT-NO_avg;latest_forecasted_power_net_import_SI_avg;latest_forecasted_production_solar_avg;latest_forecasted_production_wind_avg
2020-01-01T00:00:00+00:00;2020;1;1;0;01.01.20;1;1;00:00:00;1577836800;AT;230.94;184.74;173.47;427.08;0;6306;0;135.25;1525;2231;5735.25;entsoe.eu;34.97;59.95;308;160.25;1788.25;2058.5;;0;0;1969;0;22;304.35;566.11;1380.85;1513.38;291.46;6.73;0;1523.13;0.33;51.87;0;97.5;;;;;;;;;;;;;;135.25;-492;865;660;-759;-167;-813;267.76;0;0;270.83;0.42;-0.46;38.6;6498;5588;-406;414;1007;-765;-190;;0;1984
2020-01-01T01:00:00+00:00;2020;1;1;1;01.01.20;1;1;01:00:00;1577840400;AT;221.99;180.6;173.47;440.97;0;6196.25;0;32.5;1178;1850;5556.75;entsoe.eu;34.14;61.56;308;160;1696.25;2025;;0;0;1985;0;22;289.13;501.6;1342.94;1542.01;239.05;4.83;0;1565.07;0.21;47.8;0;24.5;;;;;;;;;;;;;;32.5;-437;774;404;-566;-165;-682;267.6;0;0;270.69;0.23;-0.52;36.55;6183;5448;-364;513;322;-676;-178;;0;1820
2020-01-01T02:00:00+00:00;2020;1;1;2;01.01.20;1;1;02:00:00;1577844000;AT;206.55;152.84;;414.65;0;5569.5;465.25;0;1444;1294;5254.25;entsoe.eu;29.61;65.04;308;159.5;1151;2077;0;0;0;1852;0;22;316.77;546.92;955.97;1586.81;280.93;7.25;0;1509.95;0.37;49.52;0;0;;;;;;;;;;;;;;-465.25;-323;733;711;-368;-23;-580;267.29;0;0;270.63;0.07;-0.57;32.32;5275;5244;-293;468;1269;-598;-27;;0;1608
2020-01-01T03:00:00+00:00;2020;1;1;3;01.01.20;1;1;03:00:00;1577847600;AT;211.44;148.56;;417.45;0;5245.75;507.5;0;1601;1187;5152.25;entsoe.eu;29.59;64.3;307;158.75;1011;2038;0;0;0;1709;0;22;324.78;601.67;861.21;1567.31;314.92;7.91;0;1420.55;0.39;53.73;0;0;;;;;;;;;;;;;;-507.5;-139;847;754;-417;-15;-616;267.34;0;0;270.71;0.03;-0.51;30.85;5001;5192;-250;470;1332;-716;0;;0;1420
2020-01-01T04:00:00+00:00;2020;1;1;4;01.01.20;1;1;04:00:00;1577851200;AT;221.24;158.83;;414.74;0;5109;353.25;0;1647;1087;5315.75;entsoe.eu;31.3;62.39;304;161;1078.25;2059.75;0;0;0;1484;0;22;343.09;639.4;959.09;1657.23;335.83;8.78;0;1316.04;0.43;56.09;0;0;;;;;;;;;;;;;;-353.25;-228;827;820;-255;-28;-576;267.12;0;0;270.66;0;-0.28;30.14;4989;5312;-292;359;1590;-714;-6;;0;1300
2020-01-01T05:00:00+00:00;2020;1;1;5;01.01.20;1;1;05:00:00;1577854800;AT;240.94;176.08;;421.7;0;5036.5;230.75;0;1806;1208;5403.75;entsoe.eu;34.64;58.55;304;161.5;1233.5;2169.5;0;0;0;1146;0;22;355.13;700.02;1100.01;1753.36;368.35;9.66;0;1055.01;0.48;61.96;0;0;;;;;;;;;;;;;;-230.75;-469;927;879;-117;-35;-587;266.86;0;0;270.62;-0.02;-0.15;30.17;5035;5476;-251;345;1709;-652;-159;;0;1204
2020-01-01T06:00:00+00:00;2020;1;1;6;01.01.20;1;1;06:00:00;1577858400;AT;263.73;199.7;;413.18;0;4955.5;405.25;0;2123;933;5740.25;entsoe.eu;38.67;53.42;304;160;1453.5;2132;0;0;0;884;0;22;386.86;797.27;1339.65;1779.05;454.48;11.78;0.97;898.75;0.58;71.17;0;0;;;;;;;;;;;;;;-405.25;-431;1020;1031;72;-34;-468;266.48;0;0;270.53;0;-0.11;30;5076;5904;-149;242;2020;-523;-165;;0;1052
2020-01-01T07:00:00+00:00;2020;1;1;7;01.01.20;1;1;07:00:00;1577862000;AT;276.2;221.93;;410.74;0;5040.75;164.75;0;2034;837;6073;entsoe.eu;41.74;50.43;304;160.25;1720;2100.5;0;0;20;714;0;22;391.26;812.78;1636.06;1857.5;475.65;10.87;32.1;781.09;0.5;75.56;0;0;;;;;;;;;;;;;;-164.75;-327;1040;871;123;-29;-481;266.09;0;0;270.49;0.02;-0.07;30.65;5307;6272;257;502;1209;-526;-137;;8;872
2020-01-01T08:00:00+00:00;2020;1;1;8;01.01.20;1;1;08:00:00;1577865600;AT;285.74;231.35;;396.5;0;5075.25;250.75;0;2492;976;6340.5;entsoe.eu;42.94;48.55;304;160.75;1830.25;2102.25;0;0;75;581;0;22;407.78;909.05;1717.55;1816.67;539.71;12.55;168.46;684.71;0.59;83.78;0;0;;;;;;;;;;;;;;-250.75;-464;1203;1150;139;-48;-464;266.15;0;16.67;271.48;-0.05;-0.08;30.65;5264;6652;322;632;1113;-281;-116;;48;708
2020-01-01T09:00:00+00:00;2020;1;1;9;01.01.20;1;1;09:00:00;1577869200;AT;274.97;225.82;;372.8;0;5128.25;428.75;0;2576;743;6532.5;entsoe.eu;41.02;50.93;304;162;1787;2116.25;0;0;158;579;0;22;418.66;889.98;1695.18;1849.87;525.66;12.88;363.7;694;0.64;82.18;0;0;;;;;;;;;;;;;;-428.75;-493;1141;1329;106;-18;-232;268.3;0;58.1;273.3;0.04;-0.17;30.27;5220;6904;541;627;984;-340;0;;124;528
